Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Country Number
2020-01-22,555,17.0,28,510.0,0,0,0,3.06,5.05,60.71,6
2020-01-23,654,18.0,30,606.0,99,1,2,2.75,4.59,60.0,8
2020-01-24,941,25.0,36,880.0,287,7,6,2.66,3.83,69.44,9
2020-01-25,1434,41.0,39,1354.0,493,16,3,2.86,2.72,105.13,11
2020-01-26,2118,54.0,52,2012.0,684,13,13,2.55,2.46,103.85,13
2020-01-27,2927,80.0,61,2786.0,809,26,9,2.73,2.08,131.15,16
2020-01-28,5578,129.0,107,5342.0,2651,49,46,2.31,1.92,120.56,16
2020-01-29,6167,131.0,125,5911.0,589,2,18,2.12,2.03,104.8,18
2020-01-30,8235,168.0,141,7926.0,2068,37,16,2.04,1.71,119.15,20
2020-01-31,9927,210.0,219,9498.0,1692,42,78,2.12,2.21,95.89,23
2020-02-01,12038,256.0,281,11501.0,2111,46,62,2.13,2.33,91.1,25
2020-02-02,16787,358.0,459,15970.0,4749,102,178,2.13,2.73,78.0,25
2020-02-03,19887,422.0,604,18861.0,3100,64,145,2.12,3.04,69.87,25
2020-02-04,23898,488.0,821,22589.0,4011,66,217,2.04,3.44,59.44,26
2020-02-05,27643,560.0,1071,26012.0,3745,72,250,2.03,3.87,52.29,26
2020-02-06,30803,629.0,1418,28756.0,3160,69,347,2.04,4.6,44.36,26
2020-02-07,34335,714.0,1902,31719.0,3532,85,484,2.08,5.54,37.54,26
2020-02-08,37069,799.0,2468,33802.0,2734,85,566,2.16,6.66,32.37,26
2020-02-09,40096,898.0,3053,36145.0,3027,99,585,2.24,7.61,29.41,26
2020-02-10,42634,1004.0,3710,37920.0,2538,106,657,2.35,8.7,27.06,26
2020-02-11,44676,1103.0,4413,39160.0,2042,99,703,2.47,9.88,24.99,26
2020-02-12,46562,1108.0,4841,40613.0,1886,5,428,2.38,10.4,22.89,26
2020-02-13,60207,1360.0,5922,52925.0,13645,252,1081,2.26,9.84,22.97,26
2020-02-14,66691,1510.0,7605,57576.0,6484,150,1683,2.26,11.4,19.86,27
2020-02-15,68766,1653.0,8892,58221.0,2075,143,1287,2.4,12.93,18.59,27
2020-02-16,70880,1757.0,10309,58814.0,2114,104,1417,2.48,14.54,17.04,27
2020-02-17,72816,1855.0,11940,59021.0,1936,98,1631,2.55,16.4,15.54,27
2020-02-18,74610,1995.0,13680,58935.0,1794,140,1740,2.67,18.34,14.58,27
2020-02-19,75031,2107.0,15381,57543.0,421,112,1701,2.81,20.5,13.7,28
2020-02-20,75578,2228.0,17352,55998.0,547,121,1971,2.95,22.96,12.84,28
2020-02-21,76207,2231.0,17949,56027.0,629,3,597,2.93,23.55,12.43,30
2020-02-22,77968,2437.0,21832,53699.0,1761,206,3883,3.13,28.0,11.16,30
2020-02-23,78291,2443.0,22285,53563.0,323,6,453,3.12,28.46,10.96,31
2020-02-24,78855,2601.0,24028,52226.0,564,158,1743,3.3,30.47,10.82,36
2020-02-25,79708,2679.0,26629,50400.0,853,78,2601,3.36,33.41,10.06,41
2020-02-26,80671,2737.0,29054,48880.0,963,58,2425,3.39,36.02,9.42,47
2020-02-27,82031,2778.0,31896,47357.0,1360,41,2842,3.39,38.88,8.71,51
2020-02-28,83416,2835.0,35283,45298.0,1385,57,3387,3.4,42.3,8.04,57
2020-02-29,85309,2901.0,38285,44123.0,1893,66,3002,3.4,44.88,7.58,61
2020-03-01,87692,2954.0,41176,43562.0,2383,53,2891,3.37,46.96,7.17,66
2020-03-02,89670,3032.0,44053,42585.0,1978,78,2877,3.38,49.13,6.88,73
2020-03-03,92253,3106.0,46648,42499.0,2583,74,2595,3.37,50.57,6.66,76
2020-03-04,94570,3193.0,49575,41802.0,2317,87,2927,3.38,52.42,6.44,82
2020-03-05,97334,3285.0,52193,41856.0,2764,92,2618,3.37,53.62,6.29,86
2020-03-06,101334,3388.0,54132,43814.0,4000,103,1939,3.34,53.42,6.26,95
2020-03-07,105396,3480.0,56622,45294.0,4062,92,2490,3.3,53.72,6.15,98
2020-03-08,109356,3710.0,58971,46675.0,3960,230,2349,3.39,53.93,6.29,103
2020-03-09,113319,3878.0,60770,48671.0,3963,168,1799,3.42,53.63,6.38,106
2020-03-10,118330,4150.0,62545,51635.0,5011,272,1775,3.51,52.86,6.64,109
2020-03-11,126011,4467.0,64815,56729.0,7681,317,2270,3.54,51.44,6.89,116
2020-03-12,131800,4764.0,66091,60945.0,5789,297,1276,3.61,50.14,7.21,118
2020-03-13,146179,5175.0,67839,73165.0,14379,411,1748,3.54,46.41,7.63,129
2020-03-14,157257,5522.0,70209,81526.0,11078,347,2370,3.51,44.65,7.87,144
2020-03-15,168550,6061.0,73619,88870.0,11293,539,3410,3.6,43.68,8.23,149
2020-03-16,183294,6679.0,75045,101570.0,14744,618,1426,3.64,40.94,8.9,155
2020-03-17,199218,7282.0,77527,114409.0,15924,603,2482,3.66,38.92,9.39,158
2020-03-18,218741,8078.0,79874,130789.0,19523,796,2347,3.69,36.52,10.11,163
2020-03-19,245897,8963.0,81509,155425.0,27156,885,1635,3.65,33.15,11.0,167
2020-03-20,276531,10197.0,83954,182380.0,30634,1234,2445,3.69,30.36,12.15,175
2020-03-21,308501,11553.0,88222,208726.0,31970,1356,4268,3.74,28.6,13.1,177
2020-03-22,342731,12791.0,93061,236879.0,34230,1238,4839,3.73,27.15,13.74,182
2020-03-23,386098,14149.0,93527,278422.0,43367,1358,466,3.66,24.22,15.13,183
2020-03-24,427570,15880.0,102470,309220.0,41487,1731,8943,3.71,23.97,15.5,185
2020-03-25,478554,17767.0,107694,353093.0,50984,1887,5224,3.71,22.5,16.5,188
2020-03-26,541281,19979.0,115629,405673.0,62727,2212,7935,3.69,21.36,17.28,188
2020-03-27,606263,22594.0,123946,459723.0,64982,2615,8317,3.73,20.44,18.23,189
2020-03-28,673653,25343.0,131953,516357.0,67390,2749,8007,3.76,19.59,19.21,192
2020-03-29,733050,27849.0,141190,564011.0,59397,2506,9237,3.8,19.26,19.72,192
2020-03-30,798291,30841.0,156431,611019.0,65241,2992,15241,3.86,19.6,19.72,193
2020-03-31,875115,34656.0,168602,671857.0,76824,3815,12171,3.96,19.27,20.55,195
2020-04-01,951634,39037.0,183796,728801.0,76519,4381,15194,4.1,19.31,21.24,195
2020-04-02,1032966,44075.0,200133,788758.0,81333,5038,16337,4.27,19.37,22.02,196
2020-04-03,1116222,49097.0,214943,852182.0,83256,5022,14810,4.4,19.26,22.84,196
2020-04-04,1196579,54281.0,234643,907655.0,80357,5184,19700,4.54,19.61,23.13,197
2020-04-05,1268555,58591.0,247904,962060.0,71976,4310,13261,4.62,19.54,23.63,200
2020-04-06,1341788,63561.0,264080,1014147.0,73233,4970,16176,4.74,19.68,24.07,201
2020-04-07,1419529,70817.0,286815,1061897.0,77741,7256,22735,4.99,20.2,24.69,201
2020-04-08,1503560,76434.0,315074,1112052.0,84031,5617,28259,5.08,20.96,24.26,201
2020-04-09,1590040,83207.0,339167,1167666.0,86480,6773,24093,5.23,21.33,24.53,201
2020-04-10,1677580,89722.0,360102,1227756.0,87540,6515,20935,5.35,21.47,24.92,202
2020-04-11,1753795,95377.0,385472,1272946.0,76215,5655,25370,5.44,21.98,24.74,202
2020-04-12,1849147,100194.0,404209,1344744.0,95373,4817,18737,5.42,21.86,24.79,202
2020-04-13,1919292,105319.0,430614,1383359.0,70145,5125,26405,5.49,22.44,24.46,202
2020-04-14,1990638,111798.0,455112,1423728.0,71346,6479,24498,5.62,22.86,24.56,202
2020-04-15,2072511,118913.0,490922,1462676.0,81873,7115,35810,5.74,23.69,24.22,202
2020-04-16,2169431,125271.0,520793,1523367.0,96920,6358,29871,5.77,24.01,24.05,202
2020-04-17,2257244,132548.0,545965,1578731.0,87813,7277,25172,5.87,24.19,24.28,202
2020-04-18,2330638,138314.0,569304,1623020.0,73410,5766,23339,5.93,24.43,24.3,202
2020-04-19,2410608,142914.0,599871,1667823.0,79970,4600,30567,5.93,24.88,23.82,202
2020-04-20,2485111,148008.0,621041,1716062.0,74503,5094,21170,5.96,24.99,23.83,202
2020-04-21,2560990,154496.0,655110,1751384.0,75879,6488,34069,6.03,25.58,23.58,202
