State,Country,Latitude,Longitude,Date,Confirmed,Deaths,Recovered,Active
,Afghanistan,33.0,65.0,1/22/20,0,0,0.0,0.0
,Albania,41.1533,20.1683,1/22/20,0,0,0.0,0.0
,Algeria,28.0339,1.6596,1/22/20,0,0,0.0,0.0
,Andorra,42.5063,1.5218,1/22/20,0,0,0.0,0.0
,Angola,-11.2027,17.8739,1/22/20,0,0,0.0,0.0
,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0.0,0.0
,Argentina,-38.4161,-63.6167,1/22/20,0,0,0.0,0.0
,Armenia,40.0691,45.0382,1/22/20,0,0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0,0.0,0.0
New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0,0.0,0.0
Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0,0.0,0.0
Queensland,Australia,-28.0167,153.4,1/22/20,0,0,0.0,0.0
South Australia,Australia,-34.9285,138.6007,1/22/20,0,0,0.0,0.0
Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0,0.0,0.0
Victoria,Australia,-37.8136,144.9631,1/22/20,0,0,0.0,0.0
Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0,0.0,0.0
,Austria,47.5162,14.5501,1/22/20,0,0,0.0,0.0
,Azerbaijan,40.1431,47.5769,1/22/20,0,0,0.0,0.0
,Bahamas,25.0343,-77.3963,1/22/20,0,0,0.0,0.0
,Bahrain,26.0275,50.55,1/22/20,0,0,0.0,0.0
,Bangladesh,23.685,90.3563,1/22/20,0,0,0.0,0.0
,Barbados,13.1939,-59.5432,1/22/20,0,0,0.0,0.0
,Belarus,53.7098,27.9534,1/22/20,0,0,0.0,0.0
,Belgium,50.8333,4.0,1/22/20,0,0,0.0,0.0
,Benin,9.3077,2.3158,1/22/20,0,0,0.0,0.0
,Bhutan,27.5142,90.4336,1/22/20,0,0,0.0,0.0
,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0.0,0.0
,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0.0,0.0
,Brazil,-14.235,-51.9253,1/22/20,0,0,0.0,0.0
,Brunei,4.5353,114.7277,1/22/20,0,0,0.0,0.0
,Bulgaria,42.7339,25.4858,1/22/20,0,0,0.0,0.0
,Burkina Faso,12.2383,-1.5616,1/22/20,0,0,0.0,0.0
,Cabo Verde,16.5388,-23.0418,1/22/20,0,0,0.0,0.0
,Cambodia,11.55,104.9167,1/22/20,0,0,0.0,0.0
,Cameroon,3.8480000000000003,11.5021,1/22/20,0,0,0.0,0.0
Alberta,Canada,53.9333,-116.5765,1/22/20,0,0,0.0,0.0
British Columbia,Canada,49.2827,-123.1207,1/22/20,0,0,0.0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/22/20,0,0,0.0,0.0
Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0,0.0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0,0,0.0,0.0
Nova Scotia,Canada,44.681999999999995,-63.7443,1/22/20,0,0,0.0,0.0
Ontario,Canada,51.2538,-85.3232,1/22/20,0,0,0.0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0,0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,1/22/20,0,0,0.0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0,0.0,0.0
,Central African Republic,6.6111,20.9394,1/22/20,0,0,0.0,0.0
,Chad,15.4542,18.7322,1/22/20,0,0,0.0,0.0
,Chile,-35.6751,-71.543,1/22/20,0,0,0.0,0.0
Anhui,China,31.8257,117.2264,1/22/20,1,0,0.0,1.0
Beijing,China,40.1824,116.4142,1/22/20,14,0,0.0,14.0
Chongqing,China,30.0572,107.874,1/22/20,6,0,0.0,6.0
Fujian,China,26.0789,117.9874,1/22/20,1,0,0.0,1.0
Gansu,China,37.8099,101.0583,1/22/20,0,0,28.0,-28.0
Guangdong,China,23.3417,113.4244,1/22/20,26,0,0.0,26.0
Guangxi,China,23.8298,108.7881,1/22/20,2,0,0.0,2.0
Guizhou,China,26.8154,106.8748,1/22/20,1,0,0.0,1.0
Hainan,China,19.1959,109.7453,1/22/20,4,0,0.0,4.0
Hebei,China,39.549,116.1306,1/22/20,1,0,0.0,1.0
Heilongjiang,China,47.861999999999995,127.7615,1/22/20,0,0,0.0,0.0
Henan,China,33.882,113.61399999999999,1/22/20,5,0,0.0,5.0
Hong Kong,China,22.3,114.2,1/22/20,0,0,0.0,0.0
Hubei,China,30.9756,112.2707,1/22/20,444,17,0.0,427.0
Hunan,China,27.6104,111.7088,1/22/20,4,0,0.0,4.0
Inner Mongolia,China,44.0935,113.9448,1/22/20,0,0,0.0,0.0
Jiangsu,China,32.9711,119.455,1/22/20,1,0,0.0,1.0
Jiangxi,China,27.614,115.7221,1/22/20,2,0,0.0,2.0
Jilin,China,43.6661,126.1923,1/22/20,0,0,0.0,0.0
Liaoning,China,41.2956,122.6085,1/22/20,2,0,0.0,2.0
Macau,China,22.1667,113.55,1/22/20,1,0,0.0,1.0
Ningxia,China,37.2692,106.1655,1/22/20,1,0,0.0,1.0
Qinghai,China,35.7452,95.9956,1/22/20,0,0,0.0,0.0
Shaanxi,China,35.1917,108.8701,1/22/20,0,0,0.0,0.0
Shandong,China,36.3427,118.1498,1/22/20,2,0,0.0,2.0
Shanghai,China,31.201999999999998,121.4491,1/22/20,9,0,0.0,9.0
Shanxi,China,37.5777,112.2922,1/22/20,1,0,0.0,1.0
Sichuan,China,30.6171,102.7103,1/22/20,5,0,0.0,5.0
Tianjin,China,39.3054,117.323,1/22/20,4,0,0.0,4.0
Tibet,China,31.6927,88.0924,1/22/20,0,0,0.0,0.0
Xinjiang,China,41.1129,85.2401,1/22/20,0,0,0.0,0.0
Yunnan,China,24.974,101.48700000000001,1/22/20,1,0,0.0,1.0
Zhejiang,China,29.1832,120.0934,1/22/20,10,0,0.0,10.0
,Colombia,4.5709,-74.2973,1/22/20,0,0,0.0,0.0
,Congo (Brazzaville),-4.0383,21.7587,1/22/20,0,0,0.0,0.0
,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0,0.0,0.0
,Costa Rica,9.7489,-83.7534,1/22/20,0,0,0.0,0.0
,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,0,0.0,0.0
,Croatia,45.1,15.2,1/22/20,0,0,0.0,0.0
,Diamond Princess,0.0,0.0,1/22/20,0,0,0.0,0.0
,Cuba,22.0,-80.0,1/22/20,0,0,0.0,0.0
,Cyprus,35.1264,33.4299,1/22/20,0,0,0.0,0.0
,Czechia,49.8175,15.472999999999999,1/22/20,0,0,0.0,0.0
Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,0,0.0,0.0
Greenland,Denmark,71.7069,-42.6043,1/22/20,0,0,0.0,0.0
,Denmark,56.2639,9.5018,1/22/20,0,0,0.0,0.0
,Djibouti,11.8251,42.5903,1/22/20,0,0,0.0,0.0
,Dominican Republic,18.7357,-70.1627,1/22/20,0,0,0.0,0.0
,Ecuador,-1.8312,-78.1834,1/22/20,0,0,0.0,0.0
,Egypt,26.0,30.0,1/22/20,0,0,0.0,0.0
,El Salvador,13.7942,-88.8965,1/22/20,0,0,0.0,0.0
,Equatorial Guinea,1.5,10.0,1/22/20,0,0,0.0,0.0
,Eritrea,15.1794,39.7823,1/22/20,0,0,0.0,0.0
,Estonia,58.5953,25.0136,1/22/20,0,0,0.0,0.0
,Eswatini,-26.5225,31.4659,1/22/20,0,0,0.0,0.0
,Ethiopia,9.145,40.4897,1/22/20,0,0,0.0,0.0
,Fiji,-17.7134,178.065,1/22/20,0,0,0.0,0.0
,Finland,64.0,26.0,1/22/20,0,0,0.0,0.0
French Guiana,France,3.9339,-53.1258,1/22/20,0,0,0.0,0.0
French Polynesia,France,-17.6797,149.4068,1/22/20,0,0,0.0,0.0
Guadeloupe,France,16.25,-61.5833,1/22/20,0,0,0.0,0.0
Mayotte,France,-12.8275,45.1662,1/22/20,0,0,0.0,0.0
New Caledonia,France,-20.9043,165.618,1/22/20,0,0,0.0,0.0
Reunion,France,-21.1351,55.2471,1/22/20,0,0,0.0,0.0
Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,0,0.0,0.0
St Martin,France,18.0708,-63.0501,1/22/20,0,0,0.0,0.0
Martinique,France,14.6415,-61.0242,1/22/20,0,0,0.0,0.0
,France,46.2276,2.2137,1/22/20,0,0,0.0,0.0
,Gabon,-0.8037,11.6094,1/22/20,0,0,0.0,0.0
,Gambia,13.4432,-15.3101,1/22/20,0,0,0.0,0.0
,Georgia,42.3154,43.3569,1/22/20,0,0,0.0,0.0
,Germany,51.0,9.0,1/22/20,0,0,0.0,0.0
,Ghana,7.9465,-1.0232,1/22/20,0,0,0.0,0.0
,Greece,39.0742,21.8243,1/22/20,0,0,0.0,0.0
,Guatemala,15.7835,-90.2308,1/22/20,0,0,0.0,0.0
,Guinea,9.9456,-9.6966,1/22/20,0,0,0.0,0.0
,Guyana,5.0,-58.75,1/22/20,0,0,0.0,0.0
,Haiti,18.9712,-72.2852,1/22/20,0,0,0.0,0.0
,Holy See,41.9029,12.4534,1/22/20,0,0,0.0,0.0
,Honduras,15.2,-86.2419,1/22/20,0,0,0.0,0.0
,Hungary,47.1625,19.5033,1/22/20,0,0,0.0,0.0
,Iceland,64.9631,-19.0208,1/22/20,0,0,0.0,0.0
,India,21.0,78.0,1/22/20,0,0,0.0,0.0
,Indonesia,-0.7893,113.9213,1/22/20,0,0,0.0,0.0
,Iran,32.0,53.0,1/22/20,0,0,0.0,0.0
,Iraq,33.0,44.0,1/22/20,0,0,0.0,0.0
,Ireland,53.1424,-7.6921,1/22/20,0,0,0.0,0.0
,Israel,31.0,35.0,1/22/20,0,0,0.0,0.0
,Italy,43.0,12.0,1/22/20,0,0,0.0,0.0
,Jamaica,18.1096,-77.2975,1/22/20,0,0,0.0,0.0
,Japan,36.0,138.0,1/22/20,2,0,0.0,2.0
,Jordan,31.24,36.51,1/22/20,0,0,0.0,0.0
,Kazakhstan,48.0196,66.9237,1/22/20,0,0,0.0,0.0
,Kenya,-0.0236,37.9062,1/22/20,0,0,0.0,0.0
,South Korea,36.0,128.0,1/22/20,1,0,0.0,1.0
,Kuwait,29.5,47.75,1/22/20,0,0,0.0,0.0
,Kyrgyzstan,41.2044,74.7661,1/22/20,0,0,0.0,0.0
,Latvia,56.8796,24.6032,1/22/20,0,0,0.0,0.0
,Lebanon,33.8547,35.8623,1/22/20,0,0,0.0,0.0
,Liberia,6.4281,-9.4295,1/22/20,0,0,0.0,0.0
,Liechtenstein,47.14,9.55,1/22/20,0,0,0.0,0.0
,Lithuania,55.1694,23.8813,1/22/20,0,0,0.0,0.0
,Luxembourg,49.8153,6.1296,1/22/20,0,0,0.0,0.0
,Madagascar,-18.7669,46.8691,1/22/20,0,0,0.0,0.0
,Malaysia,2.5,112.5,1/22/20,0,0,0.0,0.0
,Maldives,3.2028,73.2207,1/22/20,0,0,0.0,0.0
,Malta,35.9375,14.3754,1/22/20,0,0,0.0,0.0
,Mauritania,21.0079,10.9408,1/22/20,0,0,0.0,0.0
,Mauritius,-20.2,57.5,1/22/20,0,0,0.0,0.0
,Mexico,23.6345,-102.5528,1/22/20,0,0,0.0,0.0
,Moldova,47.4116,28.3699,1/22/20,0,0,0.0,0.0
,Monaco,43.7333,7.4167,1/22/20,0,0,0.0,0.0
,Mongolia,46.8625,103.8467,1/22/20,0,0,0.0,0.0
,Montenegro,42.5,19.3,1/22/20,0,0,0.0,0.0
,Morocco,31.7917,-7.0926,1/22/20,0,0,0.0,0.0
,Namibia,-22.9576,18.4904,1/22/20,0,0,0.0,0.0
,Nepal,28.1667,84.25,1/22/20,0,0,0.0,0.0
Aruba,Netherlands,12.5186,-70.0358,1/22/20,0,0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,1/22/20,0,0,0.0,0.0
